data,label
"[0.2134817  0.37395164 0.16582687 0.20367815 0.37850747 0.08370706
 0.20638585 0.3713867  0.06427932 0.21656606 0.40185156 0.30682126
 0.22169964 0.37681755 0.22853905 0.26184446 0.43244252 0.7232577
 0.27726436 0.3675925  0.49611068 0.4026663  0.29579744 0.28030995
 0.40518206 0.27828133 0.20788193 0.4203212  0.19887038 0.2687616
 0.41346356 0.2024741  0.21249755 0.67517227 0.3231223  0.63401014
 0.6562616  0.2759218  0.41255906 0.37860048 0.08562189 0.5366743
 0.37005186 0.08240631 0.5189138  0.6811579  0.00854584 0.48537648
 0.6671154  0.0148877  0.65639806]",processed
"[0.2161802  0.35224104 0.08300433 0.20855813 0.36335993 0.04240885
 0.2064639  0.3544674  0.03087936 0.2175001  0.41067892 0.12656665
 0.21709694 0.39973244 0.03086184 0.27147156 0.42090333 0.6880085
 0.27364382 0.4047466  0.54367346 0.4649745  0.2477552  0.51720667
 0.44447824 0.30678928 0.2104216  0.42266458 0.2078184  0.2750187
 0.41494837 0.21554567 0.21643104 0.6582271  0.31237626 0.674397
 0.62818295 0.31310025 0.48595667 0.3699192  0.08144423 0.83514
 0.36516815 0.0871387  0.37487397 0.61994386 0.00623621 0.17235366
 0.62721527 0.01632639 0.5039788 ]",processed
"[0.22465126 0.38336706 0.22771071 0.2129516  0.39466444 0.10845301
 0.21231185 0.39080983 0.07518969 0.21749866 0.41033715 0.28157923
 0.21741176 0.40073022 0.09207503 0.28017947 0.4152826  0.8417761
 0.27309006 0.40741614 0.6182893  0.46434543 0.23922269 0.76255095
 0.3828167  0.3022026  0.26446742 0.40835473 0.19063021 0.25692475
 0.39126545 0.19001487 0.2681954  0.67363846 0.30111217 0.5754106
 0.6451653  0.3005802  0.48324025 0.37369603 0.08578916 0.73044145
 0.3650548  0.09232058 0.40686795 0.6639202  0.0086058  0.5835441
 0.6333082  0.01401876 0.5070616 ]",processed
"[0.21697707 0.35851315 0.11465355 0.20846435 0.373918   0.08400756
 0.2088532  0.36374727 0.06252252 0.22140564 0.4092212  0.29938436
 0.22184844 0.40489185 0.14128691 0.27899328 0.42398906 0.7606751
 0.27260536 0.40661705 0.60973614 0.4738286  0.24630538 0.4263256
 0.4549916  0.24041656 0.40072805 0.40228838 0.16886428 0.16150932
 0.39415193 0.16568944 0.15474226 0.6659992  0.31181347 0.45293123
 0.6471156  0.30272737 0.45544967 0.3735015  0.08609437 0.6150769
 0.37415975 0.09551321 0.3703472  0.6252444  0.01341281 0.17382747
 0.619949   0.01789173 0.40646756]",processed
"[0.22535416 0.38796058 0.12229668 0.21500935 0.3906447  0.05268104
 0.21610433 0.38981256 0.06232588 0.21898085 0.4095544  0.14403829
 0.22668745 0.40400752 0.07575705 0.269656   0.4182741  0.7050216
 0.27659553 0.4133561  0.6450868  0.46645433 0.24218544 0.6591836
 0.44700795 0.33323288 0.22399282 0.42882523 0.22043532 0.3376627
 0.44150582 0.22946699 0.2220343  0.6719323  0.3035456  0.52651095
 0.66606534 0.30772588 0.4223747  0.36841258 0.08006001 0.64298755
 0.37096134 0.08619584 0.3828755  0.65694904 0.00257061 0.52264035
 0.64542854 0.01371215 0.65431595]",processed
"[0.6611366  0.22825916 0.26342058 0.6516696  0.2186335  0.35801294
 0.652161   0.21554671 0.468528   0.6717737  0.21695796 0.51819456
 0.6743397  0.20681317 0.5162357  0.69792753 0.25725442 0.33172825
 0.7075583  0.26928827 0.44947013 0.6974269  0.2852564  0.22654764
 0.7087661  0.2790893  0.30260554 0.67020816 0.2496969  0.17954186
 0.67343706 0.26284596 0.16104756 0.69436675 0.4353936  0.62632614
 0.69836515 0.43848693 0.57936776 0.61603665 0.5735725  0.41266367
 0.6120275  0.57599694 0.66074246 0.7015511  0.6994283  0.5900918
 0.71121097 0.7019357  0.69053847]",processed
"[0.44933894 0.62750316 0.3577695  0.4429901  0.63480586 0.45624545
 0.4459838  0.643882   0.5255802  0.46041173 0.65385985 0.5969443
 0.47171354 0.6803708  0.44613495 0.5119354  0.6083542  0.42217818
 0.5719168  0.6765589  0.4893024  0.3983175  0.54042196 0.707582
 0.45995882 0.62944317 0.09295949 0.4493969  0.66336626 0.44715196
 0.45534036 0.6542084  0.14829382 0.5852767  0.39178813 0.5066846
 0.56395644 0.45513582 0.37298536 0.4321371  0.28872427 0.9166139
 0.42382947 0.35124227 0.5166394  0.61620027 0.20727731 0.8448758
 0.6061529  0.27956015 0.2192104 ]",processed
"[0.6139856  0.23214841 0.16568904 0.6163882  0.22210443 0.18857026
 0.61473835 0.21679741 0.21834213 0.642013   0.23388371 0.19549395
 0.6373857  0.22547448 0.19576374 0.6435799  0.24698995 0.09531661
 0.6295053  0.38078922 0.0729446  0.6811871  0.43434674 0.08806934
 0.6744402  0.46097267 0.12262016 0.6534211  0.27843362 0.133726
 0.6521396  0.27684972 0.12495208 0.6595629  0.40553835 0.1387603
 0.64630127 0.43507397 0.14756526 0.6856652  0.47768947 0.4038756
 0.6613184  0.5389059  0.11280201 0.70142835 0.74159193 0.5483036
 0.6927931  0.7320002  0.3531334 ]",processed
"[0.64013255 0.23789412 0.27026716 0.64194524 0.2253514  0.4557525
 0.6466048  0.22332129 0.33732113 0.6777147  0.22368312 0.5700163
 0.6854551  0.21965793 0.57095134 0.68637985 0.2800835  0.40623996
 0.7160309  0.26036382 0.4658583  0.6077613  0.25909445 0.41360074
 0.7167572  0.26885593 0.28143856 0.6210341  0.2497007  0.10326077
 0.6552056  0.22872613 0.13389772 0.6936179  0.45463473 0.6353421
 0.7170982  0.44668454 0.48495123 0.60493183 0.5853219  0.4903788
 0.6073551  0.58380413 0.77969354 0.6996273  0.6999179  0.63110715
 0.71754605 0.6976799  0.6861065 ]",processed
"[0.60587275 0.19251668 0.30581713 0.5989934  0.17634308 0.28490868
 0.5989174  0.17541659 0.28025672 0.6297749  0.17040005 0.3506734
 0.6313249  0.16334738 0.4508649  0.65815073 0.21911807 0.233974
 0.68935466 0.22179604 0.15540618 0.6587501  0.24762204 0.15838787
 0.7052346  0.26129472 0.2028471  0.6658822  0.2356526  0.2155148
 0.7006801  0.25162408 0.23839343 0.6940916  0.39150736 0.4886932
 0.7091626  0.40221572 0.49466366 0.61084634 0.5664938  0.6489156
 0.6081214  0.58062553 0.72153825 0.7089484  0.7086084  0.49288243
 0.7160492  0.716292   0.47328368]",processed
